ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2021,7.902,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2021,6.427,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2021,5.841,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2021,13.053,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2021,14.489,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2021,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2021,8.754,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2021,7.75,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2021,7.734,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2021,25.44,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Advanced,2021,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2021,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2021,8.812,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2021,7.267,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2021,3.39,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2021,14.072,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2021,15.187,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2021,6.399,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2021,4.805,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2021,4.389,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2021,8.125,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2021,14.408,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2021,7.958,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2021,7.886,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2021,5.495,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2021,10.424,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2021,11.818,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2021,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2021,8.819,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2021,9.261,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2021,6.78,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2021,20.643,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2021,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2021,8.316,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2021,8.409,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2021,3.844,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2021,10.569,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2021,12.641,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2021,6.996,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Less than basic,2021,6.493,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2021,4.729,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2021,7.453,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2021,11.728,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2021,7.742,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2021,3.742,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2021,7.792,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2021,27.479,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
